Countries and areas,Region,Sub-region,Development regions,Age group,Subject,Total,Gender Girls,Gender Boys,Residence Rural,Residence Urban,Wealth quintile: Poorest,Wealth quintile: Second,Wealth quintile: Middle,Wealth quintile: Fourth,Wealth quintile: Richest,Data Source,Data Year
North Macedonia,ECA,EECA,More Developed,Grade 2/3,Reading,45 ,55 ,36 ,,,,,,,,MICS6,2018-2019
North Macedonia,ECA,EECA,More Developed,Grade 2/3,Numeracy,26 ,21 ,30 ,,,,,,,,MICS6,2018-2019
Pakistan (Punjab),SA,SA,Less Developed,Age 7 to 14,Reading,36 ,38 ,35 ,31 ,47 ,16 ,32 ,41 ,47 ,59 ,MICS6,2017-2018
Pakistan (Punjab),SA,SA,Less Developed,Age 7 to 14,Numeracy,12 ,11 ,13 ,10 ,15 ,6 ,11 ,13 ,13 ,18 ,MICS6,2017-2018
Pakistan (Punjab),SA,SA,Less Developed,Grade 2/3,Reading,25 ,28 ,23 ,22 ,32 ,14 ,21 ,25 ,30 ,41 ,MICS6,2017-2018
Pakistan (Punjab),SA,SA,Less Developed,Grade 2/3,Numeracy,7 ,7 ,8 ,6 ,9 ,4 ,7 ,8 ,7 ,12 ,MICS6,2017-2018
Sao Tome and Principe,SSA,WCA,Least Developed,Age 7 to 14,Reading,38 ,42 ,35 ,39 ,38 ,23 ,31 ,33 ,46 ,59 ,MICS6,2019
Sao Tome and Principe,SSA,WCA,Least Developed,Age 7 to 14,Numeracy,36 ,36 ,35 ,39 ,34 ,24 ,29 ,36 ,39 ,51 ,MICS6,2019
Sao Tome and Principe,SSA,WCA,Least Developed,Grade 2/3,Reading,20 ,20 ,20 ,17 ,22 ,7 ,19 ,10 ,32 ,37 ,MICS6,2019
Sao Tome and Principe,SSA,WCA,Least Developed,Grade 2/3,Numeracy,18 ,15 ,21 ,17 ,18 ,8 ,14 ,16 ,18 ,36 ,MICS6,2019
Sierra Leone,SSA,WCA,Least Developed,Age 7 to 14,Reading,16 ,15 ,17 ,5 ,30 ,2 ,5 ,10 ,25 ,39 ,MICS6,2017
Sierra Leone,SSA,WCA,Least Developed,Age 7 to 14,Numeracy,12 ,11 ,13 ,5 ,22 ,3 ,4 ,10 ,20 ,25 ,MICS6,2017
Sierra Leone,SSA,WCA,Least Developed,Grade 2/3,Reading,6 ,8 ,4 ,2 ,12 ,1 ,1 ,1 ,12 ,18 ,MICS6,2017
Sierra Leone,SSA,WCA,Least Developed,Grade 2/3,Numeracy,6 ,6 ,5 ,2 ,11 ,2 ,2 ,2 ,11 ,15 ,MICS6,2017
State of Palestine,MENA,MENA,Less Developed,Age 7 to 14,Reading,53 ,57 ,48 ,59 ,52 ,40 ,48 ,56 ,58 ,64 ,MICS6,2019-2020
State of Palestine,MENA,MENA,Less Developed,Age 7 to 14,Numeracy,46 ,46 ,46 ,54 ,45 ,30 ,39 ,51 ,51 ,60 ,MICS6,2019-2020
State of Palestine,MENA,MENA,Less Developed,Grade 2/3,Reading,26 ,27 ,26 ,31 ,26 ,17 ,26 ,28 ,24 ,38 ,MICS6,2019-2020
State of Palestine,MENA,MENA,Less Developed,Grade 2/3,Numeracy,26 ,25 ,27 ,36 ,25 ,13 ,24 ,30 ,30 ,37 ,MICS6,2019-2020
Suriname,LAC,LAC,Less Developed,Age 7 to 14,Reading,47 ,47 ,47 ,43 ,51 ,32 ,39 ,52 ,59 ,65 ,MICS6,2018
Suriname,LAC,LAC,Less Developed,Age 7 to 14,Numeracy,25 ,26 ,24 ,21 ,28 ,16 ,23 ,24 ,33 ,37 ,MICS6,2018
Suriname,LAC,LAC,Less Developed,Grade 2/3,Reading,23 ,22 ,23 ,13 ,29 ,12 ,23 ,20 ,30 ,56 ,MICS6,2018
Suriname,LAC,LAC,Less Developed,Grade 2/3,Numeracy,5 ,4 ,5 ,5 ,5 ,3 ,3 ,3 ,3 ,16 ,MICS6,2018
Thailand,EAP,EAP,Less Developed,Age 7 to 14,Reading,73 ,76 ,70 ,70 ,76 ,62 ,73 ,74 ,78 ,78 ,MICS6,2019
Thailand,EAP,EAP,Less Developed,Age 7 to 14,Numeracy,69 ,71 ,67 ,65 ,73 ,59 ,65 ,68 ,74 ,78 ,MICS6,2019
Thailand,EAP,EAP,Less Developed,Grade 2/3,Reading,57 ,59 ,56 ,56 ,59 ,42 ,63 ,54 ,64 ,64 ,MICS6,2019
Thailand,EAP,EAP,Less Developed,Grade 2/3,Numeracy,51 ,53 ,49 ,48 ,56 ,42 ,52 ,49 ,58 ,58 ,MICS6,2019
Togo,SSA,WCA,Least Developed,Age 7 to 14,Reading,18 ,18 ,17 ,11 ,31 ,5 ,8 ,15 ,25 ,43 ,MICS6,2017
Togo,SSA,WCA,Least Developed,Age 7 to 14,Numeracy,9 ,9 ,9 ,6 ,15 ,3 ,3 ,8 ,18 ,16 ,MICS6,2017
Togo,SSA,WCA,Least Developed,Grade 2/3,Reading,4 ,5 ,3 ,2 ,9 ,3 ,0 ,3 ,5 ,15 ,MICS6,2017
Togo,SSA,WCA,Least Developed,Grade 2/3,Numeracy,3 ,3 ,3 ,2 ,6 ,1 ,0 ,3 ,7 ,8 ,MICS6,2017
Tonga,EAP,EAP,Less Developed,Age 7 to 14,Reading,63 ,65 ,61 ,60 ,72 ,61 ,59 ,64 ,60 ,71 ,MICS6,2019
Tonga,EAP,EAP,Less Developed,Age 7 to 14,Numeracy,52 ,54 ,51 ,50 ,62 ,48 ,50 ,50 ,57 ,60 ,MICS6,2019
Tonga,EAP,EAP,Less Developed,Grade 2/3,Reading,47 ,46 ,48 ,,,,,,,,MICS6,2019
Tonga,EAP,EAP,Less Developed,Grade 2/3,Numeracy,25 ,21 ,29 ,,,,,,,,MICS6,2019
